"id";"lemma";"Freq";"MI";"T-score";"logDice"
"2891";"svérázně";"33";"6,64";"5,687";"1,343"
"2892";"velkochov";"33";"6,636";"5,687";"1,343"
"2893";"moravský";"70";"1,016";"4,23";"1,342"
"2894";"jihoafrický";"37";"3,187";"5,415";"1,341"
"2895";"test";"72";"0,981";"4,185";"1,341"
"2896";"buvol";"33";"6,513";"5,682";"1,341"
"2897";"stydět";"41";"2,397";"5,187";"1,341"
"2898";"senát";"59";"1,269";"4,494";"1,34"
"2899";"molekula";"35";"3,956";"5,535";"1,339"
"2900";"nadstandardně";"33";"6,306";"5,672";"1,339"
"2901";"změnit";"130";"0,523";"3,467";"1,338"
"2902";"nutno";"44";"2,048";"5,029";"1,338"
"2903";"totalita";"36";"3,487";"5,465";"1,338"
"2904";"služebna";"38";"2,905";"5,341";"1,338"
"2905";"katolík";"35";"3,929";"5,528";"1,338"
"2906";"dvojice";"69";"1,025";"4,224";"1,337"
"2907";"najevo";"48";"1,737";"4,85";"1,337"
"2908";"pozorovatel";"38";"2,894";"5,335";"1,336"
"2909";"cvrček";"33";"6,142";"5,663";"1,336"
"2910";"okres";"75";"0,924";"4,096";"1,336"
"2911";"jaderný";"54";"1,429";"4,62";"1,335"
"2912";"hollywoodský";"37";"3,122";"5,384";"1,334"
"2913";"rak";"35";"3,864";"5,51";"1,333"
"2914";"mužstvo";"106";"0,628";"3,633";"1,332"
"2915";"evakuace";"35";"3,83";"5,5";"1,33"
"2916";"velet";"36";"3,404";"5,433";"1,33"
"2917";"kopat";"41";"2,345";"5,142";"1,33"
"2918";"kubánský";"36";"3,387";"5,427";"1,328"
"2919";"jihočeský";"61";"1,186";"4,377";"1,328"
"2920";"mšice";"33";"5,678";"5,632";"1,328"
"2921";"riziko";"73";"0,939";"4,087";"1,327"
"2922";"jedenáct";"59";"1,237";"4,423";"1,326"
"2923";"hrdinka";"36";"3,363";"5,417";"1,326"
"2924";"nadnárodní";"36";"3,358";"5,415";"1,325"
"2925";"Lucie";"59";"1,235";"4,417";"1,325"
"2926";"choť";"34";"4,366";"5,548";"1,325"
"2927";"výhodný";"56";"1,33";"4,506";"1,324"
