id;lemma;Freq;MI;T-score;logDice;POS;VNP?
3458;apod;38;1,616;4,153;1,066;B;
3459;lehce;45;1,152;3,689;1,066;D;
3460;příslušný;45;1,152;3,689;1,066;A;
3461;dvourohý;27;8,486;5,182;1,065;;
3462;ušlechtile;27;8,343;5,18;1,065;D;
3463;nálada;46;1,102;3,623;1,064;N;
3464;Izraelec;29;3,614;4,945;1,063;N;
3465;omlouvat;33;2,263;4,548;1,063;V;
3466;bota;43;1,246;3,792;1,062;N;
3467;legislativa;35;1,935;4,369;1,061;N;
3468;průhledně;27;7,327;5,164;1,061;D;
3469;Honza;36;1,806;4,284;1,061;N;
3470;plánovat;66;0,583;2,7;1,061;V;
3471;650;30;3,077;4,828;1,06;C;
3472;prudký;36;1,803;4,28;1,06;A;
3473;teorie;38;1,593;4,121;1,059;N;
3474;MHD;33;2,241;4,53;1,059;B;
3475;cenný;54;0,816;3,175;1,058;A;
3476;suverén;28;4,351;5,032;1,057;N;
3477;přístup;69;0,535;2,574;1,057;N;
3478;seriál;62;0,642;2,829;1,057;N;
3479;otáčka;30;3,045;4,814;1,057;N;
3480;věta;40;1,423;3,965;1,057;N;
3481;Alice;31;2,699;4,71;1,057;N;
3482;letní;77;0,441;2,313;1,056;A;
3483;privátní;30;3,035;4,809;1,056;A;
3484;okno;70;0,52;2,53;1,056;N;
3485;bít;32;2,433;4,609;1,056;V;
3486;akce;214;0,017;0,168;1,055;N;
3487;pochopitelný;33;2,219;4,51;1,054;A;
3488;batole;28;4,274;5,018;1,054;N;
3489;fungovat;89;0,338;1,97;1,054;V;
3490;studentka;36;1,774;4,246;1,053;N;
3491;zletilý;31;2,67;4,693;1,053;A;
3492;mrcha;27;5,942;5,112;1,048;N;
3493;zbývat;50;0,913;3,315;1,048;V;
3494;oficiální;51;0,88;3,26;1,047;A;
3495;agresivita;30;2,953;4,77;1,047;N;
3496;trouba;34;2,013;4,386;1,047;N;
3497;obdivuhodně;27;5,825;5,104;1,046;;
3498;sebevrah;28;4,091;4,981;1,045;N;
3499;drak;35;1,86;4,286;1,044;N;
3500;hezký;49;0,937;3,344;1,044;A;
3501;boží;36;1,738;4,201;1,043;A;
3502;vražda;49;0,936;3,342;1,043;N;
3503;odejít;74;0,452;2,315;1,043;V;
3504;praktický;48;0,97;3,39;1,042;A;
3505;straka;27;5,509;5,082;1,041;;
3506;b;39;1,449;3,957;1,041;B;
3507;těsto;35;1,848;4,273;1,041;N;
3508;žížala;27;5,475;5,079;1,04;N;
3509;citelně;29;3,325;4,848;1,04;D;
3510;zapotřebí;33;2,142;4,443;1,039;D;
3511;stoprocentně;32;2,334;4,535;1,039;D;
3512;ptačí;32;2,334;4,535;1,039;A;
3513;spoluvězeň;27;5,384;5,072;1,038;N;
3514;vězeňský;30;2,878;4,732;1,038;A;
3515;hodnota;94;0,282;1,724;1,037;N;
3516;spokojený;76;0,423;2,213;1,037;A;
3517;předmět;57;0,705;2,917;1,037;N;
3518;dařit;75;0,432;2,241;1,037;V;
3519;Kanada;39;1,433;3,932;1,036;N;
3520;předpoklad;42;1,232;3,721;1,036;N;
3521;řetěz;31;2,55;4,617;1,035;N;
3522;upozorňovat;52;0,826;3,142;1,035;V;
3523;pšenice;30;2,84;4,712;1,034;N;
3524;ztrácet;47;0,989;3,401;1,034;V;
3525;netopýr;29;3,247;4,818;1,033;;
3526;pochopení;32;2,3;4,508;1,033;N;
3527;plakat;31;2,534;4,606;1,033;V;
3528;kantor;29;3,24;4,815;1,032;N;
3529;Krejčíř;29;3,237;4,814;1,032;;
3530;aneb;35;1,81;4,229;1,031;J;
3531;spor;57;0,693;2,878;1,031;N;
3532;dvojče;31;2,517;4,595;1,03;N;
3533;plátno;35;1,805;4,223;1,03;N;
3534;drahý;59;0,65;2,785;1,03;A;
3535;dobrovolník;36;1,676;4,122;1,027;N;
3536;puberta;28;3,767;4,903;1,026;N;
3537;chlév;27;4,875;5,019;1,026;N;
3538;zásah;55;0,726;2,934;1,025;N;
3539;tekutina;31;2,48;4,57;1,025;N;
3540;zemřelý;30;2,767;4,673;1,024;A;
3541;tlupa;27;4,827;5,013;1,024;;
3542;Švejk;28;3,729;4,892;1,024;N;
3543;migrant;29;3,149;4,778;1,024;N;
3544;tisícovka;34;1,911;4,28;1,024;N;
3545;schválně;28;3,724;4,891;1,024;D;
3546;teplo;46;1,005;3,402;1,023;N;
3547;přijímat;40;1,321;3,793;1,022;V;
3548;hledět;34;1,903;4,271;1,022;V;
3549;považovat;94;0,26;1,601;1,022;V;
3550;kariéra;63;0,563;2,565;1,021;N;
3551;náprava;35;1,769;4,18;1,021;N;
3552;vnučka;29;3,121;4,766;1,021;N;
3553;sumec;27;4,718;4,999;1,021;N;
3554;vyškovský;31;2,454;4,552;1,021;A;
3555;Železný;31;2,453;4,551;1,02;N;
3556;chlapík;29;3,109;4,761;1,02;N;
3557;nastavený;32;2,227;4,448;1,02;A;
3558;pracoviště;41;1,247;3,706;1,019;N;
3559;obohacený;27;4,673;4,992;1,019;A;
3560;řidička;32;2,223;4,445;1,019;N;
3561;pád;53;0,765;2,997;1,019;N;
3562;výlet;47;0,953;3,314;1,018;N;
3563;produkt;56;0,689;2,842;1,017;N;
3564;měnit;70;0,458;2,274;1,017;V;
3565;měkký;33;2,031;4,339;1,017;A;
3566;mamka;28;3,616;4,86;1,016;N;
3567;vrcholný;32;2,205;4,43;1,016;A;
3568;Jakub;60;0,604;2,651;1,015;N;
3569;celník;32;2,2;4,426;1,015;N;
3570;nepředvídatelně;26;12,148;5,098;1,014;D;
3571;vařit;41;1,233;3,679;1,014;V;
3572;obojživelník;27;4,518;4,969;1,014;N;
3573;distingovaně;26;10,469;5,095;1,014;D;
3574;ctnostně;26;10,371;5,095;1,014;;
3575;autoritářsky;26;10,022;5,094;1,013;D;
3576;produkovat;31;2,406;4,518;1,013;V;
3577;vyvolávat;35;1,736;4,14;1,013;V;
3578;1975;29;3,039;4,73;1,013;C;
3579;konfrontačně;26;9,3;5,091;1,013;D;
3580;chodník;46;0,98;3,343;1,012;N;
3581;okapi;26;8,626;5,086;1,011;;
3582;svatokopecký;26;8,545;5,085;1,011;;
